algorithm,n_rounds,opponent_type,reward_sum,agent_final_reward
DQN,20.csv,cfr,-40.0,-20.0
RAlegAATr,60.csv,bbl,-116.0,-54.0
RAlegAATr,60.csv,bbl,-120.0,-60.0
RAlegAATr,60.csv,bbl,-120.0,-60.0
RAlegAATr,60.csv,bbl,-120.0,-60.0
RAlegAATr,60.csv,bbl,-120.0,-60.0
QAlegAATr,20.csv,random,52.0,22.0
QAlegAATr,20.csv,random,52.0,14.0
QAlegAATr,20.csv,random,32.0,32.0
QAlegAATr,20.csv,random,40.0,4.0
QAlegAATr,20.csv,random,32.0,56.0
MADQN,10.csv,roundnum,24.0,48.0
MADQN,10.csv,roundnum,24.0,48.0
MADQN,10.csv,roundnum,24.0,48.0
MADQN,10.csv,roundnum,24.0,48.0
MADQN,10.csv,roundnum,24.0,48.0
AleqgAATr,40.csv,cooppunish,88.0,44.0
AleqgAATr,40.csv,cooppunish,88.0,44.0
AleqgAATr,40.csv,cooppunish,88.0,44.0
AleqgAATr,40.csv,cooppunish,88.0,44.0
AleqgAATr,40.csv,cooppunish,88.0,44.0
MADQN,10.csv,roundnum2,-16.0,-12.0
MADQN,10.csv,roundnum2,-16.0,-12.0
MADQN,10.csv,roundnum2,-16.0,-12.0
MADQN,10.csv,roundnum2,-16.0,-12.0
MADQN,10.csv,roundnum2,-16.0,-12.0
RAlegAATr,10.csv,bullied,20.0,50.0
RAlegAATr,10.csv,bullied,20.0,50.0
RAlegAATr,10.csv,bullied,20.0,50.0
RAlegAATr,10.csv,bullied,20.0,50.0
RAlegAATr,10.csv,bullied,20.0,50.0
RAlegAATr,30.csv,roundnum,36.0,114.0
RAlegAATr,30.csv,roundnum,36.0,114.0
RAlegAATr,30.csv,roundnum,36.0,114.0
RAlegAATr,30.csv,roundnum,36.0,114.0
RAlegAATr,30.csv,roundnum,36.0,114.0
RDQN,50.csv,bbl,-100.0,-50.0
RDQN,50.csv,bbl,-100.0,-50.0
RDQN,50.csv,bbl,-96.0,-44.0
RDQN,50.csv,bbl,-96.0,-44.0
RDQN,50.csv,bbl,-96.0,-44.0
SMAlegAATr,20.csv,cooppunish,48.0,24.0
SMAlegAATr,20.csv,cooppunish,48.0,24.0
SMAlegAATr,20.csv,cooppunish,48.0,24.0
SMAlegAATr,20.csv,cooppunish,48.0,24.0
SMAlegAATr,20.csv,cooppunish,48.0,24.0
DQN,40.csv,coopgreedy,32.0,128.0
DQN,40.csv,coopgreedy,44.0,146.0
DQN,40.csv,coopgreedy,56.0,164.0
DQN,40.csv,coopgreedy,40.0,140.0
DQN,40.csv,coopgreedy,60.0,170.0
RDQN,40.csv,cfr,-80.0,-40.0
RDQN,40.csv,cfr,-80.0,-40.0
RDQN,40.csv,cfr,-80.0,-40.0
RDQN,40.csv,cfr,-80.0,-40.0
RDQN,40.csv,cfr,-80.0,-40.0
QAlegAATr,60.csv,coopgreedy,108.0,218.0
QAlegAATr,60.csv,coopgreedy,116.0,174.0
QAlegAATr,60.csv,coopgreedy,112.0,184.0
QAlegAATr,60.csv,coopgreedy,116.0,230.0
QAlegAATr,60.csv,coopgreedy,92.0,234.0
RAlegAATr,50.csv,bullypunish,-100.0,-50.0
RAlegAATr,50.csv,bullypunish,-100.0,-50.0
RAlegAATr,50.csv,bullypunish,-100.0,-50.0
RAlegAATr,50.csv,bullypunish,-100.0,-50.0
RAlegAATr,50.csv,bullypunish,-100.0,-50.0
SOAleqgAATr,50.csv,coop,100.0,250.0
SOAleqgAATr,50.csv,coop,100.0,250.0
SOAleqgAATr,50.csv,coop,100.0,250.0
SOAleqgAATr,50.csv,coop,100.0,250.0
SOAleqgAATr,50.csv,coop,100.0,250.0
DQN,30.csv,coop,60.0,150.0
DQN,30.csv,coop,60.0,150.0
DQN,30.csv,coop,60.0,150.0
DQN,30.csv,coop,60.0,150.0
DQN,30.csv,coop,60.0,150.0
AleqgAATr,40.csv,bbl,0.0,-80.0
AleqgAATr,40.csv,bbl,0.0,-80.0
AleqgAATr,40.csv,bbl,8.0,-76.0
AleqgAATr,40.csv,bbl,0.0,-80.0
AleqgAATr,40.csv,bbl,0.0,-80.0
AleqgAATr,20.csv,roundnum,84.0,78.0
AleqgAATr,20.csv,roundnum,84.0,78.0
AleqgAATr,20.csv,roundnum,84.0,78.0
AleqgAATr,20.csv,roundnum,84.0,78.0
AleqgAATr,20.csv,roundnum,84.0,78.0
AleqgAATr,50.csv,cfr,0.0,-100.0
AleqgAATr,50.csv,cfr,0.0,-100.0
AleqgAATr,50.csv,cfr,0.0,-100.0
AleqgAATr,50.csv,cfr,0.0,-100.0
AleqgAATr,50.csv,cfr,0.0,-100.0
RAlegAATr,50.csv,coopgreedy,44.0,166.0
RAlegAATr,50.csv,coopgreedy,40.0,160.0
RAlegAATr,50.csv,coopgreedy,32.0,148.0
RAlegAATr,50.csv,coopgreedy,68.0,202.0
RAlegAATr,50.csv,coopgreedy,48.0,172.0
SMAlegAATr,20.csv,coop,68.0,86.0
SMAlegAATr,20.csv,coop,68.0,86.0
SMAlegAATr,20.csv,coop,68.0,86.0
SMAlegAATr,20.csv,coop,68.0,86.0
SMAlegAATr,20.csv,coop,68.0,86.0
RAlegAATr,40.csv,coop,80.0,200.0
RAlegAATr,40.csv,coop,80.0,200.0
RAlegAATr,40.csv,coop,80.0,200.0
RAlegAATr,40.csv,coop,80.0,200.0
RAlegAATr,40.csv,coop,80.0,200.0
SMAlegAATr,30.csv,spp,48.0,44.0
SMAlegAATr,30.csv,spp,88.0,136.0
SMAlegAATr,30.csv,spp,48.0,44.0
SMAlegAATr,30.csv,spp,60.0,-90.0
SMAlegAATr,30.csv,spp,60.0,-90.0
RDQN,50.csv,greedyneg,96.0,244.0
RDQN,50.csv,greedyneg,96.0,244.0
RDQN,50.csv,greedyneg,96.0,244.0
RDQN,50.csv,greedyneg,96.0,244.0
RDQN,50.csv,greedyneg,96.0,244.0
AlegAATr,60.csv,eee,220.0,250.0
AlegAATr,60.csv,eee,220.0,250.0
AlegAATr,60.csv,eee,220.0,250.0
AlegAATr,60.csv,eee,112.0,-176.0
AlegAATr,60.csv,eee,152.0,-100.0
RDQN,40.csv,roundnum2,-48.0,8.0
RDQN,40.csv,roundnum2,-52.0,2.0
RDQN,40.csv,roundnum2,-52.0,2.0
RDQN,40.csv,roundnum2,-56.0,-4.0
RDQN,40.csv,roundnum2,-44.0,14.0
QAlegAATr,50.csv,bbl,96.0,-148.0
QAlegAATr,50.csv,bbl,96.0,-140.0
QAlegAATr,50.csv,bbl,96.0,-140.0
QAlegAATr,50.csv,bbl,96.0,-148.0
QAlegAATr,50.csv,bbl,96.0,-140.0
MADQN,40.csv,cfr,-76.0,-42.0
MADQN,40.csv,cfr,-76.0,-42.0
MADQN,40.csv,cfr,-76.0,-42.0
MADQN,40.csv,cfr,-76.0,-42.0
MADQN,40.csv,cfr,-76.0,-42.0
SOAleqgAATr,10.csv,minimax,-16.0,-12.0
SOAleqgAATr,10.csv,minimax,-16.0,-12.0
SOAleqgAATr,10.csv,minimax,-16.0,-12.0
SOAleqgAATr,10.csv,minimax,-16.0,-12.0
SOAleqgAATr,10.csv,minimax,-16.0,-12.0
MADQN,50.csv,bbl,-96.0,-52.0
MADQN,50.csv,bbl,-96.0,-52.0
MADQN,50.csv,bbl,-92.0,-46.0
MADQN,50.csv,bbl,-92.0,-46.0
MADQN,50.csv,bbl,-92.0,-46.0
MADQN,40.csv,minimax,-76.0,-42.0
MADQN,40.csv,minimax,-76.0,-42.0
MADQN,40.csv,minimax,-76.0,-42.0
MADQN,40.csv,minimax,-76.0,-42.0
MADQN,40.csv,minimax,-76.0,-42.0
QAlegAATr,40.csv,cfr,76.0,-118.0
QAlegAATr,40.csv,cfr,76.0,-118.0
QAlegAATr,40.csv,cfr,76.0,-118.0
QAlegAATr,40.csv,cfr,76.0,-118.0
QAlegAATr,40.csv,cfr,76.0,-118.0
RAlegAATr,10.csv,selfplay,-20.0,-10.0
RAlegAATr,10.csv,selfplay,-20.0,-10.0
RAlegAATr,10.csv,selfplay,-20.0,-10.0
RAlegAATr,10.csv,selfplay,-20.0,-10.0
RAlegAATr,10.csv,selfplay,-20.0,-10.0
SOAleqgAATr,60.csv,random,132.0,46.0
SOAleqgAATr,60.csv,random,76.0,90.0
SOAleqgAATr,60.csv,random,112.0,56.0
SOAleqgAATr,60.csv,random,20.0,78.0
SOAleqgAATr,60.csv,random,96.0,48.0
QAlegAATr,40.csv,bullypunish,76.0,-118.0
QAlegAATr,40.csv,bullypunish,76.0,-118.0
QAlegAATr,40.csv,bullypunish,76.0,-118.0
QAlegAATr,40.csv,bullypunish,76.0,-118.0
QAlegAATr,40.csv,bullypunish,76.0,-118.0
MADQN,30.csv,selfplay,-52.0,-26.0
MADQN,30.csv,selfplay,-52.0,-26.0
MADQN,30.csv,selfplay,-52.0,-26.0
MADQN,30.csv,selfplay,-52.0,-26.0
MADQN,30.csv,selfplay,-52.0,-26.0
MADQN,60.csv,coop,124.0,298.0
MADQN,60.csv,coop,124.0,298.0
MADQN,60.csv,coop,124.0,298.0
MADQN,60.csv,coop,124.0,298.0
MADQN,60.csv,coop,124.0,298.0
SMAlegAATr,40.csv,roundnum2,96.0,-72.0
SMAlegAATr,40.csv,roundnum2,92.0,-54.0
SMAlegAATr,40.csv,roundnum2,112.0,-48.0
SMAlegAATr,40.csv,roundnum2,88.0,-60.0
SMAlegAATr,40.csv,roundnum2,88.0,-84.0
MADQN,30.csv,random,-4.0,46.0
MADQN,30.csv,random,28.0,94.0
MADQN,30.csv,random,16.0,76.0
MADQN,30.csv,random,-4.0,46.0
MADQN,30.csv,random,-4.0,46.0
QAlegAATr,50.csv,minimax,96.0,-148.0
QAlegAATr,50.csv,minimax,96.0,-148.0
QAlegAATr,50.csv,minimax,96.0,-148.0
QAlegAATr,50.csv,minimax,96.0,-148.0
QAlegAATr,50.csv,minimax,96.0,-148.0
RDQN,60.csv,minimax,-120.0,-60.0
RDQN,60.csv,minimax,-120.0,-60.0
RDQN,60.csv,minimax,-120.0,-60.0
RDQN,60.csv,minimax,-120.0,-60.0
RDQN,60.csv,minimax,-120.0,-60.0
SOAleqgAATr,10.csv,cfr,-16.0,-12.0
SOAleqgAATr,10.csv,cfr,-16.0,-12.0
SOAleqgAATr,10.csv,cfr,-16.0,-12.0
SOAleqgAATr,10.csv,cfr,-16.0,-12.0
SOAleqgAATr,10.csv,cfr,-16.0,-12.0
SOAleqgAATr,60.csv,roundnum2,-20.0,34.0
SOAleqgAATr,60.csv,roundnum2,32.0,16.0
SOAleqgAATr,60.csv,roundnum2,4.0,6.0
SOAleqgAATr,60.csv,roundnum2,28.0,-6.0
SOAleqgAATr,60.csv,roundnum2,-24.0,44.0
SMAlegAATr,50.csv,greedyneg,100.0,-150.0
